70, 86, 86, 127
70, 86, 86, 127
86, 102, 110, 127
71, 87, 87, 255
62, 78, 78, 127
62, 78, 78, 127
62, 78, 78, 127
62, 78, 78, 127
63, 79, 79, 255
63, 79, 79, 255
62, 78, 78, 127
63, 87, 87, 255
70, 102, 110, 127
223, 247, 247, 255
62, 78, 78, 127
31, 31, 31, 255
62, 78, 78, 127
70, 86, 86, 127
183, 207, 207, 127
223, 247, 247, 127
62, 78, 78, 127
126, 135, 135, 127
71, 87, 87, 255
79, 95, 95, 255
47, 63, 71, 255
87, 111, 111, 255
110, 126, 126, 127
78, 86, 94, 127
111, 151, 151, 255
135, 167, 167, 127
223, 247, 247, 127
87, 95, 103, 255
103, 119, 119, 255
223, 247, 247, 127
71, 79, 87, 255
30, 38, 46, 127
63, 71, 79, 255
70, 70, 70, 127
223, 247, 247, 127
223, 247, 247, 127
78, 86, 94, 127
87, 95, 103, 255
223, 247, 247, 127
223, 247, 247, 127
143, 159, 159, 255
223, 247, 247, 127
94, 102, 110, 127
78, 86, 94, 127
223, 247, 247, 255
223, 247, 247, 255
223, 247, 247, 255
102, 118, 135, 127
102, 110, 118, 127
110, 118, 126, 127
223, 247, 247, 255
103, 111, 119, 255
86, 94, 102, 127
94, 102, 110, 127
38, 54, 46, 127
87, 95, 103, 255
223, 247, 247, 255
223, 247, 247, 255
79, 87, 95, 255
30, 30, 30, 127
78, 86, 94, 127
23, 23, 23, 255
223, 247, 247, 127
31, 31, 31, 255
30, 30, 30, 127
30, 30, 30, 127
199, 215, 215, 255
31, 31, 31, 255
223, 247, 247, 255
223, 247, 247, 127
223, 247, 247, 127
70, 78, 86, 127
70, 78, 86, 127
183, 183, 175, 255
70, 78, 86, 127
70, 78, 86, 127
62, 70, 78, 127
71, 79, 87, 255
54, 62, 70, 127
31, 31, 31, 255
223, 247, 247, 255
31, 31, 31, 255
39, 39, 39, 255
39, 39, 39, 255
38, 38, 38, 127
31, 31, 31, 255
30, 30, 30, 127
31, 31, 31, 255
30, 30, 30, 127
22, 22, 22, 127
22, 22, 22, 127
22, 22, 22, 127
22, 22, 22, 127
70, 62, 54, 127
15, 15, 15, 255
31, 31, 31, 255
15, 15, 15, 255
14, 14, 14, 127
14, 14, 14, 127
22, 22, 22, 127
23, 23, 23, 255
22, 22, 22, 127
15, 15, 15, 255
135, 143, 143, 127
86, 86, 86, 127
22, 22, 22, 127
22, 22, 22, 127
54, 62, 70, 127
23, 23, 23, 255
22, 22, 22, 127
23, 23, 23, 255
15, 15, 15, 255
14, 14, 14, 127
15, 15, 15, 255
15, 15, 15, 255
14, 14, 14, 127
79, 79, 79, 255
38, 46, 54, 127
87, 87, 87, 255
103, 103, 103, 255
94, 94, 94, 127
47, 55, 63, 255
14, 14, 14, 127
14, 14, 14, 127
15, 15, 15, 255
15, 15, 15, 255
22, 30, 38, 127
15, 15, 15, 255
15, 15, 15, 255
14, 14, 14, 127
15, 15, 15, 255
14, 14, 14, 127
87, 87, 95, 255
31, 31, 31, 255
30, 30, 30, 127
63, 71, 79, 255
31, 31, 31, 255
159, 159, 151, 255
30, 38, 46, 127
159, 159, 151, 127
71, 79, 87, 255
118, 126, 135, 127
95, 95, 87, 255
47, 55, 63, 255
119, 127, 135, 255
215, 239, 239, 255
215, 239, 239, 255
215, 239, 239, 127
102, 110, 118, 127
159, 167, 159, 255
111, 119, 127, 255
223, 247, 247, 255
95, 111, 119, 255
223, 247, 247, 127
223, 247, 247, 255
94, 102, 110, 127
63, 71, 79, 255
86, 78, 70, 127
118, 126, 135, 127
126, 135, 143, 127
55, 63, 71, 255
54, 62, 70, 127
54, 62, 70, 127
38, 46, 54, 127
78, 70, 62, 127
70, 78, 86, 127
70, 78, 86, 127
111, 119, 127, 255
39, 47, 55, 255
79, 87, 95, 255
39, 39, 39, 255
119, 127, 135, 255
126, 135, 143, 127
94, 102, 110, 127
119, 127, 135, 255
39, 47, 55, 255
215, 239, 239, 127
223, 239, 239, 255
143, 143, 143, 255
231, 247, 247, 255
38, 46, 54, 127
135, 135, 143, 255
135, 143, 151, 127
111, 127, 143, 255
126, 126, 135, 127
103, 119, 127, 255
126, 135, 143, 127
111, 119, 127, 255
118, 118, 126, 127
103, 111, 119, 255
111, 135, 151, 255
47, 55, 63, 255
78, 102, 110, 127
135, 159, 175, 127
135, 135, 143, 127
126, 151, 167, 127
46, 54, 62, 127
119, 119, 127, 255
79, 87, 95, 255
207, 215, 223, 255
94, 110, 110, 127
215, 223, 223, 127
231, 239, 239, 127
86, 102, 102, 127
31, 31, 31, 255
159, 183, 199, 255
46, 54, 62, 127
86, 102, 110, 127
143, 143, 151, 255
223, 239, 247, 255
167, 175, 183, 127
126, 126, 135, 127
102, 118, 126, 127
175, 191, 199, 127
126, 135, 143, 127
175, 199, 215, 255
207, 223, 231, 255
119, 135, 143, 255
111, 119, 127, 255
30, 30, 30, 127
239, 247, 247, 127
87, 103, 111, 255
47, 47, 47, 255
47, 47, 47, 255
118, 126, 135, 127
127, 151, 167, 255
119, 127, 135, 255
55, 63, 71, 255
55, 63, 71, 255
183, 207, 223, 255
111, 111, 119, 255
223, 239, 247, 255
215, 231, 239, 127
215, 231, 239, 255
167, 191, 207, 127
199, 223, 239, 255
191, 215, 231, 255
191, 215, 231, 255
159, 183, 199, 127
199, 215, 223, 127
183, 207, 223, 127
215, 231, 239, 127
215, 231, 239, 127
183, 207, 223, 127
239, 247, 247, 127
175, 199, 215, 127
239, 247, 247, 255
207, 223, 231, 127
199, 223, 239, 255
