name,screen_name,followers_count
Bread 🦆🦍,mf_bread,1630
SAM F / DR WOKE,DJSamF,26977
bayc9029,bayc9029,955
StronkWonk.eth,stronkwonk,1111
3thirty3.eth 🍌,3thirty3tv,1096
Top Dog Beach Club,TopDogBeachClub,7980
MxCDeFi,AnFearAirgid,1064
Avastars,AvaStarsNFT,13918
6th,6thmanto,766
timeless8.eth,timeless811,1670
RealMissNFT,RealmissNFT,36086
Stakataka.eth 🍌🐧,Stakataka9,758
m3dblue98 🍌,M3DBlue98,872
nostro🦇🔊🔮,NostroEth,1599
Painted Ponies 🎨🎠🎨👽🪦,painted_poniez,1106
ARTIFACT®️,ArtifactNFT,1404
William ◑ 🍌 | 🦇🔊,WakingCosmos,2467
Song Choon 🍌,songchoon,1673
Puff “Kazoo Hefner”🔥💨,PuffYatty,1676
Abhiram Bangaru (Starlord) 🍌🏴‍☠️🐪🐱🪴🥚🤖,AbhiramBangaru,5710
Peruggia,peruggia_v,14653
NFTofer 🍌,tofersny,983
Peter Jennings,CSURAM88,79769
sighduck,hi_sighduck,3903
ekaitza,ekaitza_,5383
⚡️ Dommy Bunks ⚡️,DW_Bunkston,855
#MambaForever🍌👽,franchisegq,1258
Giannis Sourdis 🦉,Greekdx,22454
33,33NFT,25570
SupaFletch 🍌,FletchSupa,1048
jpegmogul.eth,NFTyuki,967
Mus1tie,mus1tie,1234
Luis,100xluis,1624
Nacho Figueras,nachofigueras,22702
Brian | kanagi.eth 🍌🐐👽,bkalldayyy,857
Bradley Wale,BradleyWale,1411
Ethereum,ethereum,1504189
ChewieShotFirst,ShotChewie,2036
ApeSC17,ApeSC17,1116
Crypto Babe,Topshotbabe,13709
r_bar,r_bar_nft,1080
Zhu Su,zhusu,235674
EyesTeethFlesh.eth 🍌,FleshNft,5972
TRI3ES 🏹 | NFT Collection,TribesNFT,2208
nahpz 🍌,nah_pz,831
Parallel,ParallelNFT,27490
Rod277 🦇🔊,DeFiRod,1102
Craig Keenan,ckeenan86,919
NFT TRACKER and Collector 💎🚀,TrackerNFT,16160
VeVe | Digital Collectibles,veve_official,58157
LightGod,LightGod_nft,1435
Amir,mondoir,17989
aarontc.eth,aarontcadena,1232
Rabidus | rabidus.eth,0xRabidus,1293
Scot J Chrisman,ScotJChrisman,2006
spencerXsmith.eth 🏞🍌🐧🐂,spencerXsays,11999
IMCMPLX👺🍌,trueIMCMPLX,4005
Catriona Dev 🍌👽 🐐🐶🐉,NFTcatriona,2440
COIN ARTIST,coin_artist,73339
Andrew Steinwold,AndrewSteinwold,25429
YeahYeah,2Yeahyeah,7646
Mad Dog Jones,Mad_Dog_Jones,20987
Slacker Duck Pond,SlackerDuckPond,5219
Gene Huang ｜ Bored Ape #2685 CoolCats#8634,tj5391,719
Sakura268 BAYC#2518,PerfectSakura88,949
Ducks 👽,Ducks_Trades,1438
dav1nc1 🍌,dav1nc1___,1028
Eric Charles,echarlesss,810
B⭕️bbyTheApeDazzlers🍌,Bobbydazzlers_,877
LikeNFT.eth,LikenftE,861
Novocrypto.eth,novocrypto,2454
shariq911,shariq911,3770
Fren D Ape 🦇🔊🍌,EmoonLusk,850
Trevor Jones 🎨,trevorjonesart,36329
adam brotman,adambrotman,12001
Moonshot Ranch 🚀🌕,moonshotranch,763
ZarØ,Zar0_eth,902
Lance Mcroy,lance_mcroy,877
lordilir.eth - Lord Clarence III,NGBxIlir,1027
Eve,Eve06139515,989
Alien From Earth 🍌,apefromearth,989
NFT GOD,TopShotFanatic,4894
FelipeBullishNFT,FelipeNFTlover,1863
Sibel,sibeleth,4642
cryptobeaker.eth 🍌,cryptobeaker,1135
NFTBuffet.eth😼👽💀,NFTBuffet,3535
Low Mint,LowMintNFT,831
Jason L.,JasonLu99,1365
EllioTrades NFTs | (Hiring link in bio),elliotrades,246844
Bored Harang,CryptoHarang,1707
Voxies,VoxiesNFT,6842
Christie's,ChristiesInc,151964
mbsjq,mbsjq,25691
NFT Ape,hungoverape,689
🐆 HolaVencH 🍌,HolaVencH,1161
Greis Nuccio,nucciogreis,5742
Ryan Hawthorne,Ry_Hawthorne,6331
JAMIΞ (schlig),jamiebxne,25475
Dizzy Ape 🍌,FundMatch,899
JoeB 🍌,jbsd123,1198
2Shainz 🍌,shane0805,742
NiftyWhale,NiftyWhaleNFT,23253
☆Chris☆,PRguitarman,25241
Von Miller,VonMiller,459075
Steef.eth,SteefCrypto,10528
BZip,BZipNFT,1486
Flow Blockchain,flow_blockchain,80276
NFT-alive.eth,nftalive_art,682
Sebastien 🏞,borgetsebastien,12723
CubanToast,CubanToast27,3291
Graffiti Bored Ape Yacht Club,GBoredApeYC,1214
Charlie Fox (Apes),CharliesApes,977
Coldie,Coldie,24235
Rylo Zen 🍌,RyloZen,846
GoWestBTC,NiftyReport,28685
NiftySlabs,NiftySlabs,1566
Chavik.eth,ChavikAri,987
Legendary ➿,Legendary_NFT,5997
QuotidianFool 🍌👽,QuotidianFool,763
Crypto Hodlers 🤏,Hodlers_NFT,4980
Art of the infinite,artoftheinfinte,2235
Hashmasks,TheHashmasks,26464
HiddenCharacter 🦍 ☠️ ($ALBT/$DIP/$LINK),DragonCeremony,1009
aito.eth 🥚❤️,ThisIsAito,27368
nftowner.eth,vincentvncough,8469
tetsuo,0xTETSUO,635
GVG,TheRealGVG,1213
Lonely Alien Space Club,thelonelyaliens,13807
Patrick Wagner 🍄🦍🍌,patrickwagner,8020
bullishNFT,bullishNFT,1389
toldyouso,t0ldy0uso,772
Matt Kalish,mattkalish,20026
zariat,zariat,3963
Sotheby's,Sothebys,140036
ThankYouX,ThankYouX,16827
👑IZZY👑,thelgndryizzy,10951
topshotwiz.eth 👽🍌🐱,TopShotWiz,2126
Uniswap Labs 🦄,Uniswap,601555
Quick Bill,Quick_Bill69,3034
MetaMask,MetaMask,238964
Aman Raturi,AmanRaturi15,1322
Urbano,urbano,1132
Gorilla Nemesis,gorillanemesis,4351
Alexander Taub,ajt,13020
johnquad🍌,johnquad,636
AJ Vaynerchuk,ajv,38205
QB,qbcryptopick,1510
tgerring.eth // 🦧🐕 🖼 🐱 👻,TaylorGerring,10629
Bonesai 🦴🌳,blindmonkey,704
s.imo { swissdegen.eth },swissdegen,748
teMpoFU 💀🖕🏾,drteMpoFU,3005
Jake,JakeAndBakeNFT,3913
dan_OpenSea 🌊,dan_OpenSea,8943
🍌 DevBot 🍌,DevBottington,1047
Duncs.eth,StonedApeFeary,957
NFT LOVΞ,LovNft,732
NFT Freaks ⟠,nftfreaks,39113
yuppie.eth👨🏻‍🚀🛸,yuppieventures,3680
Slick,Slick_NFT,2333
MeebitsDAO,MeebitsDAO,6045
Kennedy Martinez,kendude_,819
Yat🖖,whatsyouryat,15582
apeinto.Ξth likes #GenerativeMasks,BittiesRicky,1221
Enedeus.eth,Enedeus1,531
tyronejkd,tyronejkd,2877
Jessica,JessicaApe1980,1033
tre0x.eth,trebooomin,1100
TheApeRova🍌,theaperova,661
Damien Hirst,hirst_official,53396
Wave 🏴‍☠️,WavexPirate,1664
Astro Investor 🚀🌖,astro_investor,1023
Satoshi’s Mom 🌝🎨👽,Satoshis_Mom,3550
Alex Becker 🍊🏆🥇,ZssBecker,154750
AlexisOhanian 7️⃣7️⃣6️⃣,alexisohanian,415085
Jaye//MyBA,MyBA_Branding,934
Ken Malibu,KenMalibuArt,2966
Frankynines,frankynines,5270
tonyherrera.eth,tonyherrera,6626
RalphEZ 🍌,ElRalphez,1365
jess 🏀,ButterHoops,2032
Adam Hirsch,advmhirsch,1932
ApedΞvil,ApeDev,741
SuperCoatRacing | Bud.eth,myfriendjust,919
GorillaMonkey.Eth,GorillaMonkey13,991
BillyBob Boredom,CuzznDread,3368
NFTX 🦧🕳,NFTX_,25873
"cryptoPOM (#swashbucklers, Aug 26th) 🐶🎮🎨🦑",cryptopom1,21461
Wanglu .420eth,420Eth,3791
ORSONHey,ORSONHey,3855
🦩FLAMINGO🦩,FLAMINGODAO,16925
Slayer-R 🐱,slayervault,1980
Chamath Palihapitiya,chamath,1532334
BitcoinMoon.eth,BoyHowdyApe,3652
Nftea 🍌,Nftea_Freal,640
Spookies,SpookiesNFT,8387
earlywormart,earlywormart1,2672
hype.eth ✿⚆෴⚆},hype_eth,4171
Tony 💎HGR💎,TakeoffTone,1654
Marcelo.crypto,0xMarcelo,1136
Gutter NatΞ 🐱,NateShootsRaw,1361
EternalStruggle 🍌🙈🙉🙊,EternalStruggl5,1107
TommygunD,tommygund_nft,709
unchainedninja.eth,unchained_ninja,4473
Keith Martin,keithmartin_io,1505
Universe.XYZ 🌌,universe_xyz,12885
filip.eth,EthFilip,714
CryptoCaptain,alei198634,890
ApeStackin738.eth,ApeStackin,1881
meloziΞ.lyx,Meloziee,808
ROBNESS V2 (WHITEPAPER NOT INCLUDED)🇺🇸,robnessofficial,18340
Leo Viti,leovitiart,1696
CryptoSlam!,cryptoslamio,14950
Multi,multivrsstudios,1833
Sven,sven_nft,1794
0xNETOG 🍌,0xNetog,753
Blockpoint,blockpointlabs,817
NBA Top Shot Updates,topshot_updates,65130
ruumz,ruumzNFT,3567
Crypto Cannabis Club,CryptoCannaClub,7883
manifold.xyz,manifoldxyz,5445
Cameron Winklevoss,cameron,577755
Mack 🍌,fearless_cap,1737
Lou,LouDogSports,1409
Jelyn,nftnoobie,4277
Jamie Burke ⛺️⛰💯,jamie247,25246
LowLight 🍌⭕️,LowLightSniper,750
Rare Shoe,ShoeRare,1501
BoringBananasCo™,BoringBananasCo,3432
NBA Top Shottaz 🍌🏀,NbaTopShottaz,4610
Will Weinraub,willweinraub,3178
path.eth 🛡️,Cryptopathic,144754
CryptoPunk237.eth,cryptopunk237,1112
Cake Nygard,CakeNygard,2573
Hammond,CryptoHammond,804
Zombie Ape Rich 🍌,DarthJotaro,820
ALΞX,MlNSKA,1239
RookieXBT 🧲,RookieXBT,292526
Deep__Days 🍌,Deep__Days,732
jayaugust.eth 🍌,JayAugust,703
JOMO 🍌,jordanPmorgan,2491
0xProMinter,0xProMinter,1151
D Woo,d__woo,878
"Stan ""The Ape"" 🍌",StanleyMeytin,1149
Autumnbadger,fernybadger,575
bignft,bignftcollector,18407
The Doge Pound,TheDogePoundNFT,22022
AlphaBetty Doodles NFT,alphabettyNFT,4854
Jason.,riceboy42069,4410
"stani.eth (👻,🐻‍❄️)",StaniKulechov,100734
Rumble Kong League,RumbleKongs,7661
ApeLom (LovesOatMilk)🍌,lovesoatmilk,894
Ozzy,tomosman,9804
Mark Loranger,markloranger,1100
TWOR,thewolfofrapa,680
Mike DAOdas,mdudas,62722
Bitlectro Labs,bitlectro,3372
Smilefckrs,kidfromcruces,855
Ⓜ️IKΞ KNITTΞL 🍌,LagunitasIQ,1443
Shin,theshinpage,1485
ILLΞWMINATUS 🍌,illewminatus,824
jeevan.Ξth 🎸,jeevanpillay,1489
BFC,BellyFlopClub,783
💯👽💯,HyakuPaAlien,721
Galaxy Eggs,galaxy_eggs,767
ICON Buddy,ICXBuddy,4858
gяєєкƒяєαк,art4crypto,10949
Nifted,nifted_,3977
Coopahtroopa 🔥ᴗ🔥,Cooopahtroopa,37950
NFTokin',NFT0KING,695
ᗩᒪᎧTTᗩ ᗰᎧᑎEY ❂,money_alotta,22206
CoinDesk,CoinDesk,1916157
CryptoArte,CryptoArte,5484
similar_squash,similar_squash,1203
NFT and DFS CPA,DailyFantasyCPA,7019
YackaBird,BirdYacka,579
pragmatiko.crypto,liamlacasa,831
Sewer Rat Social Club,SewerRats_NFT,5507
Schmidolski,Schmidolski,844
FrΞΞkyCrypto.eth,FreekyCrypto,1158
NFT-Rex ⚡️,rex_nft,749
jeffslobotski.ETH,slobotski,16759
NFT.NYC,NFT_NYC,10815
Krafter.eth 🍌,CryptoKrafter,1038
Nino Sipiano 🍌,NinoSip,1383
Gilles,GilIes,902
Tommy Wilson,tommy_wilson_,4616
Micah Johnson,Micah_Johnson3,18296
Rocky Road,crypto_nowak,665
NFTmachine🤖 || OpeNFT.eth,NFTmachine,17474
Enzo Manneli,EnzoManneli,896
pplpleasr,pplpleasr1,36222
Whale Alert,whale_alert,1403880
LIŔONA ✹,iamlirona,19611
Crypto King,JBTheCryptoKing,58936
Pablo,PabloSoriano169,619
Genomic,CryptoGenomic,646
BoredCaroloApe,BoredCaroloApe,791
LGDOUCET,LgDoucet,8622
VΞRNON,Vern_Boy,785
Galaxy Fight Club ⚔️,GalaxyFight_NFT,7531
Jordan Exot//c ◑,Stanley_Studios,1717
Ros Gold-Onwude,ROSGO21,110673
ryggle,humantax,444
BlockFrameNFT,BlockFrameNFT,883
0fish0,jeremydfisher,4476
Trippple G,trippple_g,14452
Joe🍌,topshotjoe,505
Redlioneye.eth,redlioneye13,6844
THE WONDERQUEST,thewonderquest,5417
eXile 🍥 (BAYC #8257),ExileDAO,13608
Austin Quina,GatorMD97,690
𝚔𝚊𝚒 🎨🔗💡,kaigani,7703
DrNifty,NiftyDoc,604
Anonymous Fucking Nobody,AFuckingNobody,6979
MetaKovan,MetaKovan,56683
Today in NFTs,todayinNFTs,6054
RyanJK 🦇🔊,NFT_Ryan,3084
AX473 🧂👽♥️,0xAX473,1491
revan,revan2359,527
Cryptx Flxki,CryptoFloki,2024
Nifty Nation,nifty_nation,4100
Purrfect Jed,NFTJed,551
loomlock.eth🤠🤠🤠,loomdart,202519
thechaingamer.eth,TheChainGamer,1798
saucy.eth,therealpeterhui,913
Nifty's,Niftys,23816
Matt Hall,matthall2000,9704
Rabbit College Club,RabbitCollegeCl,3613
hun7ar,hun7ar,1489
KungFuHero,KungFuHeroNFT,2958
KashTan,KashTan,1107
David Bianchi,davidbianchi,6764
Chood,chintu30,1067
josie,josiebellini,17089
w1tch.eth 👽👽,Cicchelli_Tarot,1953
funghibull.eth,funghibull,3320
Soban,sobylife,27555
Noah Davis,NonFungibleNoah,2491
rssi.eth🦇🔊,metastash,4555
