name,screen_name,followers_count
boredguy.eth,boredethguy,2574
Machi Big Brother,machibigbrother,10907
MilkAndCookies.eth 🍪🥛,milkman_cookies,2121
NiFTy Nate ⭕️🍌👽🦆,NateNft,2169
Tequila 🍌Ape #7280,Tequilapixel,2249
Mr. Bob,mrbob_NFT,2447
Captain Zwingli 🍌,ChrisJourdan,3550
Rusty,rastinukas,1942
Professor Jasper,ProfessorJasper,1808
Storm🌪,CryptoStorm__,8556
markshaw.eth,markshaw,27765
Cashtronaut.eth 🍌,Cashtronaut1,2952
XCOPY 🏴,XCOPYART,40474
vitalik.eth,VitalikButerin,2278960
RΛMIN NΛSIBOV,RaminNasibov,683011
stew.eth ✨🍌✨,stew_eth,2586
7357 🍌,Ape7357,2367
DeadHeads 🪦,DeadHeadsNFT,14497
CarsonTurner.eth 🍌🦍,carsonpturner,1949
Paul.jpg 🍌 🪦💀,ArtHouseGarbage,3689
Alex (Moo)👻🍌🐮🐄,moocowsrcute,3106
Janky Warhol,Crypt0VC,3854
freshdrops.eth,freshdrops_io,2801
Flegz 🦧,Flegz_theApe,1971
BlueBadger,BlueBadger2600,2156
NateAlex,NateAlexNFT,35414
Grape Ape🍇🦧 🍌,Hobojo86,2165
⭕️ Dr. J 🍌,DrJ_NFT,1974
foryet,Foryet2,1982
Vandy 🍌🦇🔊,Vandy1518,1911
Shane Iannello🍌,FettyWop_,1972
🇨🇭 Lucrafund.eth,lucrafund,11121
JacobMeyer.eth 🍌,Jacob___Meyer,3781
snob.eth,Snob_ETH,1949
Michael Thang,michael_thangg,1871
Samwise the Blind 🍌,SamwiseTrades,1798
Hyperion,hypercryptology,2361
Turk 🍌 💭,TurksTokens,1837
BakedApe.eth 🌲🔥🚀,BakedApeETH,2020
Martin Paulini,mopo680,2371
JxhnnyRxq💎Jahbless.eth,TheJroq,3526
The Party Machine 🆖🅱️🍌,extragramken,5461
Chris // justmakeshit.eth,justmakeshit,3946
House of Kibaa,HouseofKibaa,5588
EastCoastNFT,uknow224,2208
fonduΞ 🍌,jessew_art,4072
LokaGG - BAYC #4783🍌,LokaGG1337,1872
Aleks Kay,AleksKay_,1720
Twix 🍌,TwixNFT,2141
Nezbong,NEZBONG,2297
justinaversano.eth,justinaversano,15428
ZΞD RUN 🐎,zed_run,42431
Jack Nefty 🍌,ape7458,2403
cryptowass.eth,CryptoWa55,1974
maxnaut.eth,maxnaut,3910
j.ayran,JacquelineAyran,2668
fxnction,0x_fxnction,9486
joeg dealer 🍌,BAYC9689,1842
GucciApe🍌,Rxdha1,2150
smokethatdank,smokethatdank1,2361
ngbshpend.eth,NGBxShpend,2630
pauleta23 🍌,pauleta231,1950
SincrossX.eth,SincrossX,2175
NBA Top Shot,nbatopshot,249356
0xWave,0xWave,2896
David Goldberg 🦙,davidrgoldberg,11045
nftbros.eth,nftbros_eth,1651
Zac,zAPE333,1763
Stylebender,Stylebender_NFT,1882
🅲🅼🆈🅺𝕣𝕪𝕡𝕥𝕠.𝕖𝕥𝕙 🎨 🍌,CMYKrypto,1890
SLiven,ShaneLiven,3017
Ordinary Ape’s NFT Gallery,OrdinaryApe_eth,3361
richerd,richerd,13077
na$hty,nashty_SunsFan,3128
FEWOCiOUS,fewocious,53037
Daniel G 🍌,DanielitoG25,1881
BobAmor.eth 👁🔥👁,BobAmorMusic,6439
AperahamLincoln 🍌,CaptainAperaham,1979
Apelicious,apelicious55,1869
leftlost.eth,LeftLost4,6758
Pat,Tank_Hankerous,2936
cryptomoron 🍌,Cryptomoron_,2844
Sand Vandal,SandVandal,1796
tortita.eth 🍰,TortitaTrades,2291
iJackie.eth 🍌,iJackie_eth,1795
Mahoneyjr,Mahoneyjr,1514
bigdog_brothers🍌,bigdogbrothers,3104
NFT Art Collective,NFTartCo,3272
SKRELLi PRODUCTiONS,skrellididit,1555
ZΞNFT Garden Society 🪴,zenft_,7652
JFranchise12🍌🐱💀,JFranchise12,1860
dochustle.eth,doc_hustle_,1979
cryptoboomer.eth,SKYCRYPTOBOOMER,1734
KΞnny thΞ ฿utchΞr 🍌,K3nnyth3Butch3r,2013
Meirav Haber 🍌,MeiravHaber,1958
KΞNJI 🏉🔬🏈,kenji_ball,1827
Chris Wahl,chriswahl73,8767
ZK85,ZK85NFT,3076
Nifty Gateway,niftygateway,124787
apΞ in a coupΞ 🍌🌳|🦇🔊,apeinacoupe,1520
Itchy 🍌,boredape5542,1445
MasterBuZ,Metaciple,4384
Baboon Bass Club 🍌,BaboonBass,1526
BoredApe2474,BoredApe2474,2703
bored ape,eltonhenderson,1810
Chas Warden,WardenChas,2066
iRiSh,Science_Qs,3112
𝐂𝐋𝐎𝐒Ξ𝐓𝐍Ξ𝐑𝐃.eth 🤠,ClosetNerd,2321
haymish.eth,andyoudeadright,1762
